district_id,cvap,vintage_end_year,is_post_redistricting
AL-01,526450,2016,False
AL-02,514995,2016,False
AL-03,532720,2016,False
AL-04,510100,2016,False
AL-05,530085,2016,False
AL-06,511790,2016,False
AL-07,513355,2016,False
AK-00,527810,2016,False
AZ-01,530215,2016,False
AZ-02,535575,2016,False
AZ-03,448730,2016,False
AZ-04,555930,2016,False
AZ-05,528135,2016,False
AZ-06,545870,2016,False
AZ-07,388040,2016,False
AZ-08,551615,2016,False
AZ-09,529465,2016,False
AR-01,547025,2016,False
AR-02,559250,2016,False
AR-03,532875,2016,False
AR-04,536190,2016,False
CA-01,542180,2016,False
CA-02,520500,2016,False
CA-03,482835,2016,False
CA-04,539630,2016,False
CA-05,502210,2016,False
CA-06,479665,2016,False
CA-07,512085,2016,False
CA-08,472380,2016,False
CA-09,454070,2016,False
CA-10,455035,2016,False
CA-11,484800,2016,False
CA-12,550100,2016,False
CA-13,504590,2016,False
CA-14,485145,2016,False
CA-15,467980,2016,False
CA-16,389255,2016,False
CA-17,429325,2016,False
CA-18,474180,2016,False
CA-19,459045,2016,False
CA-20,424375,2016,False
CA-21,342085,2016,False
CA-22,458360,2016,False
CA-23,478295,2016,False
CA-24,498910,2016,False
CA-25,466130,2016,False
CA-26,455215,2016,False
CA-27,481155,2016,False
CA-28,493205,2016,False
CA-29,379540,2016,False
CA-30,506390,2016,False
CA-31,456310,2016,False
CA-32,441890,2016,False
CA-33,523965,2016,False
CA-34,360785,2016,False
CA-35,410065,2016,False
CA-36,466145,2016,False
CA-37,455340,2016,False
CA-38,461625,2016,False
CA-39,475345,2016,False
CA-40,313880,2016,False
CA-41,439095,2016,False
CA-42,490860,2016,False
CA-43,427460,2016,False
CA-44,378020,2016,False
CA-45,505170,2016,False
CA-46,358965,2016,False
CA-47,464280,2016,False
CA-48,516420,2016,False
CA-49,504795,2016,False
CA-50,483140,2016,False
CA-51,406185,2016,False
CA-52,528915,2016,False
CA-53,525270,2016,False
CO-01,555290,2016,False
CO-02,589025,2016,False
CO-03,537705,2016,False
CO-04,532295,2016,False
CO-05,556315,2016,False
CO-06,515295,2016,False
CO-07,538515,2016,False
CT-01,516180,2016,False
CT-02,547310,2016,False
CT-03,530185,2016,False
CT-04,476095,2016,False
CT-05,513110,2016,False
DE-00,689655,2016,False
DC-98,494090,2016,False
FL-01,566265,2016,False
FL-02,549900,2016,False
FL-03,542395,2016,False
FL-04,562015,2016,False
FL-05,529155,2016,False
FL-06,575030,2016,False
FL-07,552445,2016,False
FL-08,562860,2016,False
FL-09,530730,2016,False
FL-10,498575,2016,False
FL-11,596990,2016,False
FL-12,562145,2016,False
FL-13,555010,2016,False
FL-14,512900,2016,False
FL-15,532485,2016,False
FL-16,560555,2016,False
FL-17,564130,2016,False
FL-18,547435,2016,False
FL-19,560780,2016,False
FL-20,459945,2016,False
FL-21,512725,2016,False
FL-22,512670,2016,False
FL-23,494965,2016,False
FL-24,443490,2016,False
FL-25,414085,2016,False
FL-26,457955,2016,False
FL-27,438255,2016,False
GA-01,527655,2016,False
GA-02,504255,2016,False
GA-03,518970,2016,False
GA-04,485240,2016,False
GA-05,543810,2016,False
GA-06,469400,2016,False
GA-07,452545,2016,False
GA-08,514725,2016,False
GA-09,510760,2016,False
GA-10,529455,2016,False
GA-11,504200,2016,False
GA-12,522900,2016,False
GA-13,487680,2016,False
GA-14,492210,2016,False
HI-01,501890,2016,False
HI-02,504835,2016,False
ID-01,599525,2016,False
ID-02,549370,2016,False
IL-01,521970,2016,False
IL-02,508975,2016,False
IL-03,474230,2016,False
IL-04,364960,2016,False
IL-05,530135,2016,False
IL-06,511440,2016,False
IL-07,518535,2016,False
IL-08,442875,2016,False
IL-09,500830,2016,False
IL-10,456465,2016,False
IL-11,460610,2016,False
IL-12,537815,2016,False
IL-13,543100,2016,False
IL-14,505470,2016,False
IL-15,539210,2016,False
IL-16,524970,2016,False
IL-17,520405,2016,False
IL-18,541480,2016,False
IN-01,528740,2016,False
IN-02,516955,2016,False
IN-03,526585,2016,False
IN-04,543065,2016,False
IN-05,545740,2016,False
IN-06,545480,2016,False
IN-07,508400,2016,False
IN-08,551310,2016,False
IN-09,558280,2016,False
IA-01,578335,2016,False
IA-02,577685,2016,False
IA-03,574135,2016,False
IA-04,564890,2016,False
KS-01,506790,2016,False
KS-02,535285,2016,False
KS-03,510660,2016,False
KS-04,509040,2016,False
KY-01,550435,2016,False
KY-02,556310,2016,False
KY-03,546500,2016,False
KY-04,550835,2016,False
KY-05,550190,2016,False
KY-06,559535,2016,False
LA-01,583600,2016,False
LA-02,575390,2016,False
LA-03,567630,2016,False
LA-04,563455,2016,False
LA-05,563195,2016,False
LA-06,578770,2016,False
ME-01,531155,2016,False
ME-02,520715,2016,False
MD-01,555065,2016,False
MD-02,536925,2016,False
MD-03,540440,2016,False
MD-04,487745,2016,False
MD-05,543350,2016,False
MD-06,510380,2016,False
MD-07,535180,2016,False
MD-08,503180,2016,False
MA-01,555730,2016,False
MA-02,548665,2016,False
MA-03,525775,2016,False
MA-04,543315,2016,False
MA-05,520345,2016,False
MA-06,556965,2016,False
MA-07,512685,2016,False
MA-08,557940,2016,False
MA-09,565905,2016,False
MI-01,562555,2016,False
MI-02,529020,2016,False
MI-03,526275,2016,False
MI-04,547355,2016,False
MI-05,525345,2016,False
MI-06,532495,2016,False
MI-07,538605,2016,False
MI-08,536105,2016,False
MI-09,540635,2016,False
MI-10,538470,2016,False
MI-11,518725,2016,False
MI-12,518100,2016,False
MI-13,491645,2016,False
MI-14,503300,2016,False
MN-01,492515,2016,False
MN-02,490085,2016,False
MN-03,496315,2016,False
MN-04,491460,2016,False
MN-05,497815,2016,False
MN-06,498205,2016,False
MN-07,497310,2016,False
MN-08,516760,2016,False
MS-01,561775,2016,False
MS-02,532965,2016,False
MS-03,558330,2016,False
MS-04,564700,2016,False
MO-01,552275,2016,False
MO-02,571815,2016,False
MO-03,576785,2016,False
MO-04,575725,2016,False
MO-05,558455,2016,False
MO-06,568245,2016,False
MO-07,574405,2016,False
MO-08,570175,2016,False
MT-00,789500,2016,False
NE-01,455120,2016,False
NE-02,442145,2016,False
NE-03,443750,2016,False
NV-01,404480,2016,False
NV-02,494080,2016,False
NV-03,528000,2016,False
NV-04,475725,2016,False
NH-01,516980,2016,False
NH-02,510650,2016,False
NJ-01,536535,2016,False
NJ-02,534145,2016,False
NJ-03,562555,2016,False
NJ-04,521035,2016,False
NJ-05,530115,2016,False
NJ-06,484280,2016,False
NJ-07,518765,2016,False
NJ-08,420495,2016,False
NJ-09,468600,2016,False
NJ-10,480715,2016,False
NJ-11,538570,2016,False
NJ-12,491465,2016,False
NM-01,494330,2016,False
NM-02,473590,2016,False
NM-03,496320,2016,False
NY-01,525330,2016,False
NY-02,499445,2016,False
NY-03,519775,2016,False
NY-04,497595,2016,False
NY-05,486265,2016,False
NY-06,447440,2016,False
NY-07,433645,2016,False
NY-08,505915,2016,False
NY-09,468060,2016,False
NY-10,482850,2016,False
NY-11,497800,2016,False
NY-12,545325,2016,False
NY-13,470505,2016,False
NY-14,402855,2016,False
NY-15,392885,2016,False
NY-16,485670,2016,False
NY-17,475730,2016,False
NY-18,516510,2016,False
NY-19,553430,2016,False
NY-20,555755,2016,False
NY-21,555510,2016,False
NY-22,546920,2016,False
NY-23,549390,2016,False
NY-24,542710,2016,False
NY-25,543400,2016,False
NY-26,543660,2016,False
NY-27,561485,2016,False
NC-01,548240,2016,False
NC-02,550380,2016,False
NC-03,563255,2016,False
NC-04,557555,2016,False
NC-05,554570,2016,False
NC-06,547625,2016,False
NC-07,570785,2016,False
NC-08,548190,2016,False
NC-09,537200,2016,False
NC-10,562725,2016,False
NC-11,577030,2016,False
NC-12,535450,2016,False
NC-13,550790,2016,False
ND-00,555690,2016,False
OH-01,532175,2016,False
OH-02,548460,2016,False
OH-03,527415,2016,False
OH-04,543735,2016,False
OH-05,552230,2016,False
OH-06,553420,2016,False
OH-07,548690,2016,False
OH-08,539035,2016,False
OH-09,539375,2016,False
OH-10,548110,2016,False
